院校,科类,批次,院校专业组代码,专业组,风险等级,专业代码,专业名称,专业类,大类,风险说明
泸州职业技术学院,物理,专科批,615201,泸州职业技术学院01,中危混合组,02,食品质量与安全,食品药品类,食品药品与粮食大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
泸州职业技术学院,物理,专科批,615202,泸州职业技术学院02,整体偏冷组,03,酿酒技术,食品药品类,食品药品与粮食大类,专科就业或接受度需谨慎核对
咸宁职业技术学院,历史,专科批,528601,咸宁职业技术学院01,中危混合组,03,智慧健康养老服务与管理,公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
上海济光职业技术学院,历史,专科批,802401,上海济光职业技术学院01,中危混合组,01,建筑设计,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
上海济光职业技术学院,历史,专科批,802401,上海济光职业技术学院01,中危混合组,03,工程造价,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
上海济光职业技术学院,历史,专科批,802401,上海济光职业技术学院01,中危混合组,06,现代家政服务与管理,公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
河南测绘职业学院,物理,专科批,516902,河南测绘职业学院02,未标风险,04,测绘地理信息技术,资源环境安全类,资源环境与安全大类,专科就业或接受度需谨慎核对
江苏商贸职业学院,物理,专科批,131413,江苏商贸职业学院13,整体偏冷组,46,旅游管理(与南京传媒学院分段培养项目),旅游餐饮类,旅游大类,专科就业或接受度需谨慎核对
江苏商贸职业学院,物理,专科批,131414,江苏商贸职业学院14,中危混合组,52,旅游管理,旅游餐饮类,旅游大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏商贸职业学院,物理,专科批,131414,江苏商贸职业学院14,中危混合组,58,智慧健康养老服务与管理,公共管理服务类,公共管理与服务大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏商贸职业学院,物理,专科批,131414,江苏商贸职业学院14,中危混合组,64,农产品流通与管理,农林牧渔类,农林牧渔大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏商贸职业学院,物理,专科批,131414,江苏商贸职业学院14,中危混合组,79,工程造价,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
江苏商贸职业学院,物理,专科批,131414,江苏商贸职业学院14,中危混合组,80,动漫制作技术,文化艺术类,文化艺术大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
山东化工职业学院,物理,专科批,275602,山东化工职业学院02,中危混合组,02,应用化工技术,生物化工类,生物与化工大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
泰州职业技术学院,物理,专科批,143102,泰州职业技术学院02,中危混合组,27,"护理(报考该专业有色觉要求,具体请查阅院校招生章程)",护理医学类,医药卫生大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
泰州职业技术学院,物理,专科批,143102,泰州职业技术学院02,中危混合组,28,"助产(报考该专业有色觉要求,具体请查阅院校招生章程)",护理医学类,医药卫生大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
泰州职业技术学院,物理,专科批,143102,泰州职业技术学院02,中危混合组,29,"口腔医学技术(报考该专业有色觉要求,具体请查阅院校招生章程)",护理医学类,医药卫生大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
泰州职业技术学院,物理,专科批,143102,泰州职业技术学院02,中危混合组,30,"康复治疗技术(报考该专业有色觉要求,具体请查阅院校招生章程)",护理医学类,医药卫生大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
泰州职业技术学院,物理,专科批,143102,泰州职业技术学院02,中危混合组,31,"药学(报考该专业有色觉要求,具体请查阅院校招生章程)",药学类,医药卫生大类,专业名称或备注含体检、性别、色觉、军士/司法/航海等限制，需核对章程
泰州职业技术学院,物理,专科批,143102,泰州职业技术学院02,中危混合组,47,生物制药技术,生物化工类,生物与化工大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
泰州职业技术学院,物理,专科批,143102,泰州职业技术学院02,中危混合组,52,建筑工程技术,土木建筑类,土木建筑大类,热门/强就业专科专业组中混入谨慎方向，志愿表需按该专业兜底
