院校,科类,专业组,院校专业组代码,专业代码,专业名称,原专业类,原专业大类,目录专业,新专业类,新专业大类,匹配方式
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,39,业财数据应用与管理,其他专业类,其他,业财数据应用与管理,财务会计类,财经商贸大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,40,数智营销,其他专业类,其他,数智营销,工商管理类,财经商贸大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,41,低空物流技术与运营,财经商贸类,财经商贸大类,低空物流技术与运营,物流类,财经商贸大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,42,建筑工程技术,土木建筑类,土木建筑大类,建筑工程技术,土建施工类,土木建筑大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院08,115508,43,融媒体技术与运营,其他专业类,其他,融媒体技术与运营,广播影视类,新闻传播大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院09,115509,44,"铁道信号自动控制(中外合作办学)(报考该专业有色觉要求,具体请查阅院校招生章程)(适合男生)",铁道运输类,交通运输大类,铁道信号自动控制,铁道运输类,交通运输大类,exact
南京铁道职业技术学院,物理,南京铁道职业技术学院09,115509,45,"铁道交通运营管理(中外合作办学)(报考该专业有色觉要求,具体请查阅院校招生章程)(适合男生)",铁道运输类,交通运输大类,铁道交通运营管理,铁道运输类,交通运输大类,exact
陕西铁路工程职业技术学院,历史,陕西铁路工程职业技术学院01,714601,01,铁道工程技术(高新校区),铁道运输类,交通运输大类,铁道工程技术,铁道运输类,交通运输大类,exact
陕西铁路工程职业技术学院,历史,陕西铁路工程职业技术学院01,714601,02,铁道机车运用与维护(临渭校区),铁道运输类,交通运输大类,铁道机车运用与维护,铁道运输类,交通运输大类,exact
武汉铁路职业技术学院,历史,武汉铁路职业技术学院01,525201,01,铁道交通运营管理,铁道运输类,交通运输大类,铁道交通运营管理,铁道运输类,交通运输大类,exact
武汉铁路职业技术学院,历史,武汉铁路职业技术学院01,525201,02,城市轨道交通运营管理,铁道运输类,交通运输大类,城市轨道交通运营管理,城市轨道交通类,交通运输大类,exact
武汉铁路职业技术学院,历史,武汉铁路职业技术学院01,525201,03,铁路物流管理,铁道运输类,交通运输大类,铁路物流管理,物流类,财经商贸大类,exact
武汉铁路职业技术学院,历史,武汉铁路职业技术学院01,525201,04,城市轨道车辆应用技术,铁道运输类,交通运输大类,城市轨道车辆应用技术,城市轨道交通类,交通运输大类,exact
武汉铁路职业技术学院,历史,武汉铁路职业技术学院01,525201,05,城市轨道交通通信信号技术,铁道运输类,交通运输大类,城市轨道交通通信信号技术,城市轨道交通类,交通运输大类,exact
武汉铁路职业技术学院,历史,武汉铁路职业技术学院01,525201,06,轨道交通通信信号设备制造与维护,铁道运输类,交通运输大类,轨道交通通信信号设备制造与维护,轨道装备类,装备制造大类,exact
武汉铁路职业技术学院,历史,武汉铁路职业技术学院01,525201,07,城市轨道交通供配电技术,铁道运输类,交通运输大类,城市轨道交通供配电技术,城市轨道交通类,交通运输大类,exact
武汉铁路职业技术学院,历史,武汉铁路职业技术学院01,525201,08,测绘工程技术,资源环境安全类,资源环境与安全大类,测绘工程技术,测绘地理信息类,资源环境与安全大类,exact
武汉铁路职业技术学院,历史,武汉铁路职业技术学院01,525201,09,城市轨道交通机电技术,铁道运输类,交通运输大类,城市轨道交通机电技术,城市轨道交通类,交通运输大类,exact
武汉铁路职业技术学院,历史,武汉铁路职业技术学院01,525201,10,数字化设计与制造技术,机械设计制造类,装备制造大类,数字化设计与制造技术,机械设计制造类,装备制造大类,exact
武汉铁路职业技术学院,历史,武汉铁路职业技术学院01,525201,11,大数据与会计,财务会计类,财经商贸大类,大数据与会计,财务会计类,财经商贸大类,exact
