school,subject,batch,groupCode,groupName,majorCode,majorName,majorClass,riskCategory,plan26,reason
华东师范大学,物理,本科批,210606,华东师范大学06,47,遥感科学与技术,测绘类,测绘地质类,2,二梯队宽口径主体组中夹入测绘地质类
上海师范大学,物理,本科批,211109,上海师范大学09,23,土木工程,土木类,土木建筑类,8,二梯队宽口径主体组中夹入土木建筑类
上海大学,物理,本科批,211206,上海大学06,12,理科试验班,理科试验班类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
上海大学,物理,本科批,211206,上海大学06,14,材料类,材料类,材料化工生化类,10,二梯队宽口径主体组中夹入材料化工生化类
上海大学,物理,本科批,211207,上海大学07,20,土木工程,土木类,土木建筑类,3,二梯队宽口径主体组中夹入土木建筑类
上海大学,物理,本科批,211207,上海大学07,21,环境工程,环境科学与工程类,低接受度远缘方向,3,二梯队宽口径主体组中夹入低接受度远缘方向
上海电力大学,物理,本科批,211802,上海电力大学02,08,新能源材料与器件,材料类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
上海工程技术大学,物理,本科批,212002,上海工程技术大学02,10,药物化学,药学类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
上海工程技术大学,物理,本科批,212002,上海工程技术大学02,11,材料类,材料类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
上海工程技术大学,物理,本科批,212002,上海工程技术大学02,17,铁道工程,土木类,土木建筑类,4,二梯队宽口径主体组中夹入土木建筑类
上海应用技术大学,物理,本科批,212304,上海应用技术大学04,06,材料科学与工程,材料类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
上海应用技术大学,物理,本科批,212304,上海应用技术大学04,07,复合材料与工程,材料类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
上海应用技术大学,物理,本科批,212304,上海应用技术大学04,14,应用化学,化学类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
上海科技大学,物理,提前本科批,212901,上海科技大学01,02,化学,化学类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
上海科技大学,物理,提前本科批,212901,上海科技大学01,03,材料科学与工程,材料类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
上海科技大学,物理,提前本科批,212901,上海科技大学01,04,生物科学,生物科学类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
上海科技大学,物理,提前本科批,212901,上海科技大学01,05,生物技术,生物科学类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
上海健康医学院,物理,本科批,213505,上海健康医学院05,09,食品卫生与营养学,公共卫生与预防医学类,低接受度远缘方向,5,二梯队宽口径主体组中夹入低接受度远缘方向
上海电机学院,物理,本科批,213602,上海电机学院02,08,电子信息材料,材料类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
浙江大学,物理,提前本科批,220104,浙江大学04,14,工科试验班,工科试验班类,低接受度远缘方向,3,二梯队宽口径主体组中夹入低接受度远缘方向
浙江大学,物理,提前本科批,220104,浙江大学04,15,工科试验班,工科试验班类,低接受度远缘方向,4,二梯队宽口径主体组中夹入低接受度远缘方向
中国计量大学,物理,本科批,220205,中国计量大学05,25,材料科学与工程,材料类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
浙江理工大学,物理,本科批,220305,浙江理工大学05,08,纺织类,纺织类,低接受度远缘方向,7,二梯队宽口径主体组中夹入低接受度远缘方向
浙江理工大学,物理,本科批,220305,浙江理工大学05,09,轻化工程,轻工类,低接受度远缘方向,3,二梯队宽口径主体组中夹入低接受度远缘方向
浙江理工大学,物理,本科批,220305,浙江理工大学05,10,材料类,材料类,材料化工生化类,5,二梯队宽口径主体组中夹入材料化工生化类
浙江理工大学,物理,本科批,220305,浙江理工大学05,11,土木类,土木类,土木建筑类,10,二梯队宽口径主体组中夹入土木建筑类
浙江理工大学,物理,本科批,220305,浙江理工大学05,12,生物科学类,生物科学类,材料化工生化类,8,二梯队宽口径主体组中夹入材料化工生化类
浙江理工大学,物理,本科批,220305,浙江理工大学05,13,应用化学,化学类,材料化工生化类,8,二梯队宽口径主体组中夹入材料化工生化类
浙江理工大学,物理,本科批,220305,浙江理工大学05,15,新能源材料与器件,材料类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
浙江理工大学,物理,本科批,220305,浙江理工大学05,17,能源化学工程,化工与制药类,材料化工生化类,4,二梯队宽口径主体组中夹入材料化工生化类
浙江工业大学,物理,本科批,220405,浙江工业大学05,14,智能建造,土木类,土木建筑类,3,二梯队宽口径主体组中夹入土木建筑类
杭州电子科技大学,物理,本科批,220803,杭州电子科技大学03,13,材料科学与工程,材料类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
浙江科技大学,物理,本科批,221205,浙江科技大学05,09,能源与环境系统工程,能源动力类,低接受度远缘方向,1,二梯队宽口径主体组中夹入低接受度远缘方向
浙江科技大学,物理,本科批,221205,浙江科技大学05,10,土木工程,土木类,土木建筑类,8,二梯队宽口径主体组中夹入土木建筑类
浙江科技大学,物理,本科批,221205,浙江科技大学05,11,给排水科学与工程,土木类,土木建筑类,5,二梯队宽口径主体组中夹入土木建筑类
浙江科技大学,物理,本科批,221205,浙江科技大学05,12,化学工程与工艺,化工与制药类,材料化工生化类,2,二梯队宽口径主体组中夹入材料化工生化类
浙江科技大学,物理,本科批,221205,浙江科技大学05,13,生物工程,生物工程类,材料化工生化类,3,二梯队宽口径主体组中夹入材料化工生化类
