current_key,legacy_key,status,confidence,group25,group26,common_count,add_count,remove_count,in_count,out_count,advice
物理|本科批|江苏理工学院|江苏理工学院14,物理|普通批|江苏理工学院|江苏理工学院14,由25大组拆分形成,中低,江苏理工学院12,江苏理工学院14,1,0,3,0,3,重点核对
物理|本科批|江苏理工学院|江苏理工学院15,物理|普通批|江苏理工学院|江苏理工学院15,高度延续,高,江苏理工学院12,江苏理工学院15,3,0,1,0,1,重点核对
物理|本科批|江苏理工学院|江苏理工学院16,物理|普通批|江苏理工学院|江苏理工学院16,疑似对应/待核对,中低,江苏理工学院13,江苏理工学院16,0,1,1,1,1,重点核对
物理|本科批|江苏理工学院|江苏理工学院17,物理|普通批|江苏理工学院|江苏理工学院17,26新增组/无25承接,低,,江苏理工学院17,0,1,0,1,0,重点核对
物理|本科批|江苏理工学院|江苏理工学院18,物理|普通批|江苏理工学院|江苏理工学院18,高度延续,高,江苏理工学院14,江苏理工学院18,5,0,0,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院19,物理|普通批|江苏理工学院|江苏理工学院19,由25大组拆分形成,中低,江苏理工学院15,江苏理工学院19,1,0,5,0,4,重点核对
物理|本科批|江苏理工学院|江苏理工学院20,物理|普通批|江苏理工学院|江苏理工学院20,延续调整,中高,江苏理工学院15,江苏理工学院20,3,0,3,0,2,重点核对
物理|本科批|江苏理工学院|江苏理工学院21,物理|普通批|江苏理工学院|江苏理工学院21,延续调整,中高,江苏理工学院16,江苏理工学院21,2,0,3,0,3,重点核对
物理|本科批|江苏理工学院|江苏理工学院22,物理|普通批|江苏理工学院|江苏理工学院22,延续调整,中高,江苏理工学院16,江苏理工学院22,3,0,2,0,2,重点核对
物理|本科批|江苏理工学院|江苏理工学院23,物理|普通批|江苏理工学院|江苏理工学院23,延续调整,中高,江苏理工学院17,江苏理工学院23,3,1,1,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院24,物理|普通批|江苏理工学院|江苏理工学院24,高度延续,高,江苏理工学院18,江苏理工学院24,2,0,0,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院25,物理|普通批|江苏理工学院|江苏理工学院25,由25大组拆分形成,中低,江苏理工学院15,江苏理工学院25,1,0,5,0,4,重点核对
物理|本科批|江苏理工学院|江苏理工学院26,物理|普通批|江苏理工学院|江苏理工学院26,高度延续,高,江苏理工学院19,江苏理工学院26,3,0,0,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院27,物理|普通批|江苏理工学院|江苏理工学院27,高度延续,高,江苏理工学院20,江苏理工学院27,2,0,0,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院28,物理|普通批|江苏理工学院|江苏理工学院28,延续调整,中高,江苏理工学院21,江苏理工学院28,2,1,1,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院29,物理|普通批|江苏理工学院|江苏理工学院29,高度延续,高,江苏理工学院22,江苏理工学院29,3,0,0,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院30,物理|普通批|江苏理工学院|江苏理工学院30,高度延续,高,江苏理工学院24,江苏理工学院30,2,0,0,0,0,常规核对
物理|本科批|江苏理工学院|江苏理工学院31,物理|普通批|江苏理工学院|江苏理工学院31,疑似对应/待核对,中低,江苏理工学院25,江苏理工学院31,0,1,1,1,1,重点核对
物理|本科批|江苏理工学院|江苏理工学院32,物理|普通批|江苏理工学院|江苏理工学院32,疑似对应/待核对,中低,江苏理工学院23,江苏理工学院32,0,1,1,1,1,重点核对
物理|本科批|江苏理工学院|江苏理工学院33,物理|普通批|江苏理工学院|江苏理工学院33,26新增组/无25承接,低,,江苏理工学院33,0,1,0,1,0,重点核对
历史|本科批|常州信息职业技术大学|常州信息职业技术大学01,历史|普通批|常州信息职业技术大学|常州信息职业技术大学01,26新增组/无25承接,无,,常州信息职业技术大学01,0,1,0,0,0,重点核对
物理|本科批|常州信息职业技术大学|常州信息职业技术大学05,物理|普通批|常州信息职业技术大学|常州信息职业技术大学05,26新增组/无25承接,无,,常州信息职业技术大学05,0,5,0,0,0,重点核对
