reason,subject,school,group,code,name,from_group,plan25,score25,rank25,before_score25,before_rank25
cross_25_exact_name,物理,西南大学,西南大学06,17,公共管理类(行政管理、文化产业管理、社会工作),西南大学04,1,600,34888,,
cross_25_exact_name,物理,西南大学,西南大学07,18,食品科学与工程类(食品科学与工程、食品质量与安全),西南大学07,2,609,27150,,
cross_25_exact_name,历史,西南大学,西南大学01,01,公共管理类(行政管理、文化产业管理、社会工作),西南大学01,1,601,5558,,
cross_25_exact_name,物理,西南财经大学,西南财经大学04,13,经济与贸易类[国际商务(双语实验班)、国际经济与贸易(双语实验班)],西南财经大学03,2,615,22495,,
cross_25_exact_name,物理,西安交通大学,西安交通大学04,07,经济学类[经济学、经济统计学、财政学、金融学(数智金融方向)、金融工程、国际经济与贸易、贸易经济、电子商务](兴庆校区),西安交通大学02,7,648,4973,,
cross_25_exact_name,物理,西安交通大学,西安交通大学06,13,医学试验班(医学类)(基础医学、法医学、预防医学)(兴庆校区),西安交通大学04,10,644,6362,,
cross_25_exact_name,历史,西安交通大学,西安交通大学01,01,外国语言文学类(语言数据复合人才培养)[英语(语言数据方向)、英语(英德方向)],西安交通大学01,3,630,1250,,
cross_25_exact_name,物理,西安电子科技大学,西安电子科技大学01,02,自动化类(智能制造及智能测控)(机械设计制造及其自动化、工业设计、电子封装技术、电气工程及其自动化、自动化、测控技术与仪器、机器人工程),西安电子科技大学03,10,642,7121,,
cross_25_exact_name,物理,长安大学,长安大学03,12,土木类(绿色建造与智慧能源)(土木工程、建筑环境与能源应用工程、给排水科学与工程)(本专业类内分流任选),长安大学04,8,604,31362,,
cross_25_exact_name,物理,长安大学,长安大学03,11,地质学类(地质学、资源勘查工程、矿物加工工程、碳储科学与工程)(本专业类内分流任选),长安大学04,4,605,30492,,
cross_25_exact_name,物理,长安大学,长安大学03,07,机械类(智能制造)(智能制造工程、机械设计制造及其自动化、机械电子工程)(南校区)(本专业类内分流任选),长安大学04,6,613,23947,,
cross_25_exact_name,物理,长安大学,长安大学03,13,电气工程及其自动化,长安大学04,2,617,21043,,
cross_25_exact_name,历史,陆军步兵学院,陆军步兵学院01,01,汉语言文学(边防分队指挥军官)(只招男生)(体检标准:通用标准合格),陆军步兵学院01,1,612,3431,,
cross_25_exact_name,历史,陆军步兵学院,陆军步兵学院02,02,汉语言文学(边防分队指挥军官)(只招女生)(体检标准:通用标准合格),陆军步兵学院01,1,612,3431,,
cross_25_unique_signature,物理,陕西师范大学,陕西师范大学04,08,物理学类[物理学(师范)、物理学(恒元班)、电子信息科学与技术、物理学(中科科创班)](雁塔校区),陕西师范大学04,2,602,33069,,
cross_25_unique_signature,物理,陕西师范大学,陕西师范大学04,09,"生物科学类[生物科学(师范)、生物科学(理科基地班)、生物技术(哲民班)](雁塔校区)(报考该专业有色觉要求,具体请查阅院校招生章程)",陕西师范大学04,5,599,35803,,
cross_25_unique_signature,历史,陕西师范大学,陕西师范大学01,01,历史学类[历史学(师范)、历史学(新文科班)、古典文献学、文物与博物馆学、世界史](长安校区),陕西师范大学01,3,605,4658,,
