key,M列专业板块,C列简化专业组名,风险等级,亲缘判断,院校专业组代码,完整专业类覆盖
物理|提前本科批|南京警察学院|南京警察学院09,军警安全,公安学组,低,同族,020609,公安学类
历史|提前本科批|国际关系学院|国际关系学院01,文法教育,文法教育组,低,同族,030101,法学类、外国语言文学类、新闻传播学类
历史|提前本科批|国际关系学院|国际关系学院02,文法教育、经管商贸,文法教育组（夹公管）,中,相近混合,030102,法学类、外国语言文学类、新闻传播学类、公共管理类
历史|提前本科批|国际关系学院|国际关系学院03,文法教育,政治学组,低,同族,030103,政治学类
历史|提前本科批|国际关系学院|国际关系学院04,文法教育,政治学组,低,同族,030104,政治学类
物理|提前本科批|国际关系学院|国际关系学院05,文法教育、经管商贸,文法教育组（夹公管）,中,相近混合,030105,法学类、新闻传播学类、心理学类、公共管理类
物理|提前本科批|国际关系学院|国际关系学院06,文法教育、经管商贸,文法教育组（含公管）,低,相近混合,030106,新闻传播学类、心理学类、公共管理类
物理|提前本科批|国际关系学院|国际关系学院07,带电工科,计算机电子组,低,同族,030107,电子信息类、计算机类
物理|提前本科批|国际关系学院|国际关系学院08,带电工科,计算机电子组,低,同族,030108,电子信息类、计算机类
物理|提前本科批|国际关系学院|国际关系学院09,文法教育,政治学组,低,同族,030109,政治学类
历史|提前本科批|北京电子科技学院|北京电子科技学院01,经管商贸,公管组,低,同族,030301,公共管理类
物理|提前本科批|北京电子科技学院|北京电子科技学院02,带电工科,计算机组,低,同族,030302,计算机类
历史|提前本科批|中央司法警官学院|中央司法警官学院01,文法教育、经管商贸,经管+文法组,低,相近混合,030501,法学类、公共管理类
历史|提前本科批|中央司法警官学院|中央司法警官学院02,文法教育、经管商贸,经管+文法组,低,相近混合,030502,法学类、公共管理类
历史|提前本科批|中央司法警官学院|中央司法警官学院03,文法教育,法学组,低,同族,030503,法学类
历史|提前本科批|中央司法警官学院|中央司法警官学院04,文法教育,法学组,低,同族,030504,法学类
历史|提前本科批|中央司法警官学院|中央司法警官学院05,军警安全,公安学组,低,同族,030505,公安学类
历史|提前本科批|中央司法警官学院|中央司法警官学院06,军警安全,公安学组,低,同族,030506,公安学类
物理|提前本科批|中央司法警官学院|中央司法警官学院07,文法教育、经管商贸,经管+文法组,低,相近混合,030507,法学类、公共管理类
物理|提前本科批|中央司法警官学院|中央司法警官学院08,文法教育、经管商贸,经管+文法组,低,相近混合,030508,法学类、公共管理类
物理|提前本科批|中央司法警官学院|中央司法警官学院09,文法教育,法学组,低,同族,030509,法学类
物理|提前本科批|中央司法警官学院|中央司法警官学院10,文法教育,法学组,低,同族,030510,法学类
物理|提前本科批|中央司法警官学院|中央司法警官学院11,军警安全,公安技术组,低,同族,030511,公安技术类
物理|提前本科批|中央司法警官学院|中央司法警官学院12,军警安全,公安技术组,低,同族,030512,公安技术类
物理|提前本科批|中央司法警官学院|中央司法警官学院13,军警安全,公安学组,低,同族,030513,公安学类
物理|提前本科批|中央司法警官学院|中央司法警官学院14,军警安全,公安学组,低,同族,030514,公安学类
历史|本科批|中国民用航空飞行学院|中国民用航空飞行学院01,文法教育、经管商贸,经管+文法组,低,相近混合,030601,外国语言文学类、工商管理类、公共管理类
物理|提前本科批|中国民用航空飞行学院|中国民用航空飞行学院02,交通航空,交通运输组,低,同族,030602,交通运输类
物理|本科批|中国民用航空飞行学院|中国民用航空飞行学院03,文法教育、经管商贸,经管+文法组,中,相近混合,030603,外国语言文学类、工商管理类、心理学类、公共管理类、物流管理与工程类、管理科学与工程类
物理|本科批|中国民用航空飞行学院|中国民用航空飞行学院04,带电工科、地矿安全、军警安全、土建测绘、交通航空、机械能源、理学基础、试验班,大理工组（夹安全工程/测绘）,高,大杂烩,030604,计算机类、安全科学与工程类、公安技术类、电子信息类、测绘类、交通运输类、能源动力类、航空航天类、数学类、交叉学科类、大气科学类、电气类
历史|提前本科批|中国消防救援学院|中国消防救援学院01,文法教育,马理论组,低,同族,030701,马克思主义理论类
物理|提前本科批|中国消防救援学院|中国消防救援学院02,军警安全、机械能源、带电工科、交通航空,大理工组,中,大杂烩,030702,公安技术类、机械类、电子信息类、航空航天类
历史|提前本科批|南京大学|南京大学01,艺术传媒,戏剧影视组,低,同族,110101,戏剧与影视学类
历史|提前本科批|南京大学|南京大学02,文法教育,马理论组,低,同族,110102,马克思主义理论类
