sourceSheet,sourceRow,school,majorText,plan2026,college,partner
985,57,兰州大学,环境设计,是,威尔士学院,威尔士三一圣大卫大学
985,58,兰州大学,视觉传达设计,是,威尔士学院,威尔士三一圣大卫大学
985,68,中国海洋大学,生物技术、食品科学与工程、数学与应用数学,否,海德学院,澳大利亚阿德莱德大学
985,73,中央民族大学,"视觉传达设计
分科类投档录取的省份，限文科或历史类考生报考",是,海南国际学院,英国密德萨斯大学
985,74,中央民族大学,"服装与服饰设计
分科类投档录取的省份，限文科或历史类考生报考",是,海南国际学院,英国密德萨斯大学
985,75,中央民族大学,"音乐学
分科类投档录取的省份，限文科或历史类考生报考",是,海南国际学院,英国密德萨斯大学
985,76,中央民族大学,"舞蹈表演
分科类投档录取的省份，限文科或历史类考生报考",是,海南国际学院,英国密德萨斯大学
985,78,西北农林科技大学,环境科学,否,海南国际学院,美国亚利桑那大学
985,79,西北农林科技大学,食品科学与工程,否,海南国际学院,美国内布拉斯加林肯大学
985,83,东北大学,生物医学工程专业,是,医学与生物信息工程学院,英国邓迪大学
985,91,天津大学,智能医学工程,是 (首届),天津大学福州国际联合学院,英国利物浦大学
985,94,天津大学,建筑学,否,深圳未来技术学院,法国波尔多国立高等建筑景观学院；波尔多蒙田大学
985,95,南开大学,电子商务,否,深圳未来技术学院,法国诺欧商学院，法国十大高商之一
985,96,厦门大学,"艺术类：
视觉传达设计
环境设计
数字媒体艺术",是,创意与创新学院,英国创意艺术大学
985,97,华南理工大学,工业设计（2025统招，以前是从大一新生里招）,是,设计学院,日本千叶大学
985,99,大连理工大学盘锦校区,智能建造、计算机科学与技术、生物医学工程,是 (首届),昆士兰科技国际工学院,澳大利亚昆士兰科技大学
985,100,大连理工大学盘锦校区,应用化学,是,大连理工大学莱斯特国际学院,英国莱斯特大学
985,101,大连理工大学盘锦校区,数理基础科学,是,大连理工大学莱斯特国际学院,英国莱斯特大学
985,102,大连理工大学盘锦校区,过程装备与控制工程,是,大连理工大学莱斯特国际学院,英国莱斯特大学
985,103,大连理工大学盘锦校区,环境生态工程,是,大连理工大学莱斯特国际学院,英国莱斯特大学
985,104,大连理工大学盘锦校区,药学,是,大连理工大学莱斯特国际学院,英国莱斯特大学
211,7,北京邮电大学,智能科学与技术,是,北京邮电大学国际学院,英国伦敦玛丽女王大学（QS110）
211,8,北京邮电大学,电子信息工程,是,北京邮电大学国际学院,英国伦敦玛丽女王大学（QS110）
211,28,北京交通大学,交通运输,是,交通运输学院,荷兰代尔夫特理工大学
211,36,北京交通大学(威海校区),数字媒体艺术,是,北京交通大学兰卡斯特大学学院,"英国兰卡斯特大学
qs全球前200（2024年第122位、2025年第141位、2026年第157位）"
