院校,科类,批次,专业组,专业代码,专业名称,专业类,26计划,25分,25位次,风险类型
"南京农业大学","物理","提前本科批","南京农业大学06","24","设施农业科学与工程(高校专项计划)","植物生产类","4","","","刺客专业"
"南京农业大学","物理","提前本科批","南京农业大学06","25","茶学(报考该专业有色觉要求,具体请查阅院校招生章程)(高校专项计划)","植物生产类","4","","","刺客专业"
"南京农业大学","物理","提前本科批","南京农业大学06","26","动物科学(报考该专业有色觉要求,具体请查阅院校招生章程)(高校专项计划)","动物生产类","3","","","刺客专业"
"南京农业大学","物理","提前本科批","南京农业大学06","28","草业科学(高校专项计划)","草学类","4","","","刺客专业"
"南京农业大学","物理","提前本科批","南京农业大学06","29","草坪科学与工程(高校专项计划)","草学类","3","","","刺客专业"
"南京农业大学","物理","提前本科批","南京农业大学06","31","农业电气化(高校专项计划)","农业工程类","2","","","刺客专业"
"南京农业大学","物理","提前本科批","南京农业大学06","32","农业智能装备工程(高校专项计划)","农业工程类","4","","","刺客专业"
"南京农业大学","物理","本科批","南京农业大学09","41","应用化学(报考该专业有色觉要求,具体请查阅院校招生章程)","化学类","4","612","23948","刺客专业"
"南京农业大学","物理","本科批","南京农业大学09","45","农业电气化","农业工程类","18","613","23215","刺客专业"
"南京农业大学","物理","本科批","南京农业大学09","46","农业智能装备工程","农业工程类","10","613","23215","刺客专业"
"南京农业大学","物理","本科批","南京农业大学11","62","农林经济管理(报考该专业有色觉要求,具体请查阅院校招生章程)","农业经济管理类","10","607","27966","刺客专业"
"南京农业大学","物理","本科批","南京农业大学11","68","数据资源与数据智能","图书情报与档案管理类","2","","","刺客专业"
"南京师范大学","历史","提前本科批","南京师范大学04","08","行政管理(地方专项计划)","公共管理类","5","602","5102","刺客专业"
"南京师范大学","历史","提前本科批","南京师范大学04","17","外国语言文学类(俄语、德语、法语、朝鲜语、意大利语、翻译)(只招英语考生)(地方专项计划)","外国语言文学类","10","","","刺客专业"
"南京师范大学","历史","提前本科批","南京师范大学04","18","历史学(师范)(地方专项计划)","历史学类","3","609","3742","刺客专业"
"南京师范大学","历史","本科批","南京师范大学08","29","哲学","哲学类","7","610","3606","刺客专业"
"南京师范大学","历史","本科批","南京师范大学08","39","英语(只招英语考生)(师范)","外国语言文学类","35","608","3922","刺客专业"
"南京师范大学","历史","本科批","南京师范大学08","41","历史学类(考古学、文物与博物馆学)","历史学类","5","613","3093","刺客专业"
"南京师范大学","物理","提前本科批","南京师范大学16","63","化学(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)(地方专项计划)","化学类","4","618","19675","刺客专业"
"南京师范大学","物理","提前本科批","南京师范大学16","65","测绘工程(地方专项计划)","测绘类","2","","","刺客专业"
"南京师范大学","物理","提前本科批","南京师范大学16","66","生物科学(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)(地方专项计划)","生物科学类","5","610","25516","刺客专业"
"南京师范大学","物理","提前本科批","南京师范大学16","67","生物科学类(生物科学(国家理科基地班)、生态学、生物技术)(报考该专业有色觉要求,具体请查阅院校招生章程)(地方专项计划)","生物科学类","15","610","25516","刺客专业"
"南京师范大学","物理","提前本科批","南京师范大学16","71","海洋资源与环境(地方专项计划)","海洋科学类","13","","","刺客专业"
"南京师范大学","物理","提前本科批","南京师范大学16","72","食品科学与工程(报考该专业有色觉要求,具体请查阅院校招生章程)(地方专项计划)","食品科学与工程类","3","","","刺客专业"
"南京师范大学","物理","本科批","南京师范大学25","92","英语(只招英语考生)(师范)","外国语言文学类","10","608","27151","刺客专业"
"南京师范大学","物理","本科批","南京师范大学28","99","食品科学与工程(报考该专业有色觉要求,具体请查阅院校招生章程)","食品科学与工程类","29","605","29639","刺客专业"
"南京师范大学","物理","本科批","南京师范大学31","B6","化学(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)","化学类","100","605","29639","刺客专业"
"南京师范大学","物理","本科批","南京师范大学31","B7","化学(报考该专业有色觉要求,具体请查阅院校招生章程)","化学类","30","","","刺客专业"
"南京师范大学","物理","本科批","南京师范大学31","B8","生物科学(师范)(报考该专业有色觉要求,具体请查阅院校招生章程)","生物科学类","51","604","30493","刺客专业"
"南京师范大学","物理","本科批","南京师范大学31","B9","生物科学类(生物科学(国家理科基地班)、生态学、生物技术)(报考该专业看色觉要求,具体请查阅院校招生章程)","生物科学类","40","604","30493","刺客专业"
"南京师范大学","物理","本科批","南京师范大学32","C1","环境科学(与澳大利亚麦考瑞大学合作办学,四年均在南京师范大学学习)(中外合作办学)","环境科学与工程类","80","590","43571","刺客专业"
"南京工业大学","历史","提前本科批","南京工业大学01","03","英语(地方专项计划)","外国语言文学类","4","","","刺客专业"
"南京工业大学","历史","本科批","南京工业大学02","10","行政管理","公共管理类","29","579","11516","刺客专业"
"南京工业大学","历史","本科批","南京工业大学02","11","日语","外国语言文学类","26","578","11881","刺客专业"
"南京工业大学","历史","本科批","南京工业大学02","12","历史建筑保护工程","建筑类","20","577","12245","刺客专业"
"南京工业大学","历史","本科批","南京工业大学02","13","英语","外国语言文学类","34","577","12245","刺客专业"
"南京工业大学","历史","本科批","南京工业大学02","14","西班牙语","外国语言文学类","10","577","12245","刺客专业"
"南京工业大学","物理","提前本科批","南京工业大学04","22","测绘工程(地方专项计划)","测绘类","2","","","刺客专业"
"南京工业大学","物理","提前本科批","南京工业大学04","27","安全工程(地方专项计划)","安全科学与工程类","3","","","刺客专业"
"南京工业大学","物理","提前本科批","南京工业大学04","28","化学(地方专项计划)","化学类","2","","","刺客专业"
"南京工业大学","物理","提前本科批","南京工业大学04","33","地理空间信息工程(地方专项计划)","测绘类","2","","","刺客专业"
"南京工业大学","物理","提前本科批","南京工业大学04","34","交通工程(地方专项计划)","交通运输类","2","585","48741","刺客专业"
"南京工业大学","物理","本科批","南京工业大学05","44","历史建筑保护工程","建筑类","20","576","58765","刺客专业"
"南京工业大学","物理","本科批","南京工业大学06","49","化学(拔尖创新人才班)","化学类","32","599","34889","刺客专业"
"南京工业大学","物理","本科批","南京工业大学07","55","测绘工程","测绘类","12","589","44619","刺客专业"
"南京工业大学","物理","本科批","南京工业大学07","58","遥感科学与技术","测绘类","43","589","44619","刺客专业"
"南京工业大学","物理","本科批","南京工业大学08","65","地理空间信息工程","测绘类","22","585","48741","刺客专业"
"南京邮电大学","历史","本科批","南京邮电大学02","06","行政管理(行政管理+智能科学与技术双学士学位复合型人才培养项目)(以下专业除注明外在仙林校区学习)","公共管理类","25","584","9943","刺客专业"
"南京邮电大学","历史","本科批","南京邮电大学02","12","人力资源管理(三牌楼校区)(以下专业除注明外在仙林校区学习)","工商管理类","6","585","9629","刺客专业"
"南京邮电大学","历史","本科批","南京邮电大学02","13","英语(只招英语考生)(以下专业除注明外在仙林校区学习)","外国语言文学类","47","582","10539","刺客专业"
"南京邮电大学","物理","提前本科批","南京邮电大学04","20","分子科学与工程(以下专业在仙林校区学习)(地方专项计划)","化学类","7","602","32191","刺客专业"
"南京邮电大学","物理","提前本科批","南京邮电大学04","25","智慧交通(以下专业在仙林校区学习)(地方专项计划)","交通运输类","3","","","刺客专业"
"南京邮电大学","物理","本科批","南京邮电大学10","59","生物医学工程(以下专业与塞浦路斯欧洲大学合作办学,四年均在南京邮电大学学习)(中外合作办学)","生物医学工程类","120","","","刺客专业"
"南京中医药大学","物理","本科批","南京中医药大学17","62","中药资源与开发(报考该专业组部分专业有色觉要求,具体请查阅院校招生章程)(南京校区)","中药学类","26","570","65872","刺客专业"
"南京林业大学","历史","本科批","南京林业大学01","05","风景园林(以下专业第一、二学年在南京溧水区白马校区学习,第三学年起在南京玄武区新庄校区学习)(南京校区)","建筑类","10","586","9330","刺客专业"
"南京林业大学","历史","本科批","南京林业大学01","06","城乡规划(以下专业第一、二学年在南京溧水区白马校区学习,第三学年起在南京玄武区新庄校区学习)(南京校区)","建筑类","10","584","9943","刺客专业"
"南京林业大学","历史","本科批","南京林业大学01","07","英语(只招英语考生)(以下专业第一、二学年在南京溧水区白马校区学习,第三学年起在南京玄武区新庄校区学习)(南京校区)","外国语言文学类","20","585","9629","刺客专业"
"南京林业大学","历史","本科批","南京林业大学02","13","风景园林(以下专业第一、二学年在淮安校区学习,第三学年起在南京玄武区新庄校区学习)(淮安校区)","建筑类","10","578","11881","刺客专业"
"南京林业大学","历史","本科批","南京林业大学02","14","城乡规划(以下专业第一、二学年在淮安校区学习,第三学年起在南京玄武区新庄校区学习)(淮安校区)","建筑类","10","576","12629","刺客专业"
"南京林业大学","历史","本科批","南京林业大学02","15","英语(只招英语考生)(以下专业第一、二学年在淮安校区学习,第三学年起在南京玄武区新庄校区学习)(淮安校区)","外国语言文学类","90","574","13340","刺客专业"
"南京林业大学","物理","本科批","南京林业大学04","30","农林经济管理(以下专业第一、二学年在南京溧水区白马校区学习,第三学年起在南京玄武区新庄校区学习)(南京校区)","农业经济管理类","20","585","48741","刺客专业"
"南京林业大学","物理","本科批","南京林业大学04","33","风景园林(以下专业第一、二学年在南京溧水区白马校区学习,第三学年起在南京玄武区新庄校区学习)(南京校区)","建筑类","10","587","46627","刺客专业"
"南京林业大学","物理","本科批","南京林业大学05","38","农林经济管理(以下专业第一、二学年在淮安校区学习,第三学年起在南京玄武区新庄校区学习)(淮安校区)","农业经济管理类","60","570","65872","刺客专业"
"南京林业大学","物理","本科批","南京林业大学05","40","风景园林(以下专业第一、二学年在淮安校区学习,第三学年起在南京玄武区新庄校区学习)(淮安校区)","建筑类","20","574","61030","刺客专业"
"南京林业大学","物理","本科批","南京林业大学05","41","城乡规划(以下专业第一、二学年在淮安校区学习,第三学年起在南京玄武区新庄校区学习)(淮安校区)","建筑类","20","572","63455","刺客专业"
"南京财经大学","历史","本科批","南京财经大学05","16","英语(只招英语考生)","外国语言文学类","20","582","10539","刺客专业"
"南京财经大学","物理","本科批","南京财经大学11","37","人力资源管理","工商管理类","34","563","74583","刺客专业"
"南京财经大学","物理","本科批","南京财经大学12","50","英语(只招英语考生)","外国语言文学类","8","574","61030","刺客专业"
"南京审计大学","历史","本科批","南京审计大学04","23","英语(以下专业在浦口校区学习)","外国语言文学类","37","583","10246","刺客专业"
"南京审计大学","历史","本科批","南京审计大学04","25","劳动与社会保障(以下专业在浦口校区学习)","公共管理类","20","583","10246","刺客专业"
