code,name,discipline,categoryCode,category,contentStatus,summaryExact,majorTextExact,classTextExact,courseSheet,careerSheet,universitySource,sources
082308T,农业机器人,工学,0823,农业工程类,major,False,True,True,,,,普通高等学校本科专业目录（2026年） | 专业大类详解
082401,森林工程,工学,0824,林业工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082402,木材科学与工程,工学,0824,林业工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082403,林产化工,工学,0824,林业工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082404T,家具设计与工程,工学,0824,林业工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082405T,木结构建筑与材料,工学,0824,林业工程类,major,True,True,True,,,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解
082501,环境科学与工程,工学,0825,环境科学与工程类,major,True,True,True,,环,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082502,环境工程,工学,0825,环境科学与工程类,major,True,True,True,,环,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082503,环境科学,工学,0825,环境科学与工程类,major,True,True,True,,环,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082504,环境生态工程,工学,0825,环境科学与工程类,major,True,True,True,,环,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082505T,环保设备工程,工学,0825,环境科学与工程类,major,True,True,True,,环,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082506T,资源环境科学,工学,0825,环境科学与工程类,major,True,True,True,,环,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082507T,水质科学与技术,工学,0825,环境科学与工程类,major,True,True,True,,环,,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx
082601,生物医学工程,工学,0826,生物医学工程类,major,True,True,True,,医工,生医工,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx | 专业院校宝典.xlsx
082602T,假肢矫形工程,工学,0826,生物医学工程类,major,True,True,True,,医工,生医工,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx | 专业院校宝典.xlsx
082603T,临床工程技术,工学,0826,生物医学工程类,major,True,True,True,,医工,生医工,普通高等学校本科专业目录（2026年） | 专业详解.xlsx | 专业大类详解 | 专业就业去向.xlsx | 专业院校宝典.xlsx
